Brebeuf Jesuit Preparatory highschool, Indiana*39.9106145*-86.2102522
Heritage Christian highschool, Indiana*34.2491862*-118.4853927
Indiana School for the Deaf highschool, Indiana*39.8337753*-86.1354765
Indianapolis Arlington highschool, Indiana*39.8442112*-86.0635161
Indianapolis Arsenal Technical highschool, Indiana*39.7792736*-86.13478789999999
Indianapolis Bishop Chatard highschool, Indiana*39.8618738*-86.1273429
Indianapolis Broad Ripple highschool, Indiana*39.86849369999999*-86.137492
Indianapolis Cardinal Ritter highschool, Indiana*39.8127943*-86.21590429999999
Indianapolis Cathedral highschool, Indiana*39.8520411*-86.0807787
Lawrence Central highschool, Indiana*39.85667*-86.0382149
Lawrence North highschool, Indiana*39.8961663*-86.0349536
North Central (Indpls.) highschool, Indiana*39.91089059999999*-86.1292201
Park Tudor highschool, Indiana*39.8843004*-86.1480418
Beech Grove highschool, Indiana*39.7114249*-86.0761321
Eastern Hancock highschool, Indiana*39.8241433*-85.60990720000001
Franklin Central highschool, Indiana*39.67694669999999*-86.0157925
Greenfield-Central highschool, Indiana*39.7929609*-85.78150699999999
Indianapolis Emmerich Manual highschool, Indiana*39.7330998*-86.1535792
Indianapolis Lutheran highschool, Indiana*39.6874613*-86.0622193
Indianapolis Scecina Memorial highschool, Indiana*39.78704219999999*-86.08534809999999
Indianapolis Lighthouse Charter School, Indiana*39.743379*-86.08896510000001
Morristown highschool, Indiana*40.8012115*-74.4863304
New Palestine highschool, Indiana*39.7186612*-85.89054999999999
Roncalli highschool, Indiana*39.6901287*-86.1068634
Triton Central highschool, Indiana*39.611196*-85.8735445
Warren Central highschool, Indiana*39.7908649*-85.9995792
Cambridge City highschool, Indiana*39.816359*-85.167234
Centerville highschool, Indiana*39.62697*-84.148187
Connersville highschool, Indiana*39.636354*-85.160944
Franklin County highschool, Indiana*31.4700345*-90.889862
Hagerstown highschool, Indiana*39.920567*-85.161254
Knightstown highschool, Indiana*39.7940785*-85.5409103
New Castle highschool, Indiana*39.9124869*-85.3765877
Northeastern highschool, Indiana*40.0653735*-76.71496719999999
Richmond highschool, Indiana*39.8224975*-84.9022281
Rushville Consolidated highschool, Indiana*39.6211095*-85.4490007
Seton Catholic highschool, Indiana*33.323*-111.8782083
Tri Junior Senior High School, Indiana*39.832935*-85.3510865
Union County highschool, Indiana*34.8802464*-83.94676919999999
Batesville highschool, Indiana*39.3109449*-85.2340038
East Central highschool, Indiana*29.3534845*-98.29601339999999
Greensburg highschool, Indiana*39.3409772*-85.4684102
Jac-Cen-Del highschool, Indiana*39.1402889*-85.29480029999999
Milan highschool, Indiana*42.0785187*-83.70284749999999
North Decatur highschool, Indiana*39.3830281*-85.477649
Oldenburg Academy highschool, Indiana*39.3425846*-85.2007007
Rising Sun highschool, Indiana*38.9501149*-84.8595567
South Dearborn highschool, Indiana*39.06395000000001*-84.9285637
South Decatur highschool, Indiana*39.2068084*-85.5766525
South Ripley highschool, Indiana*39.0510622*-85.2502114
Center Grove highschool, Indiana*39.5760289*-86.1952026
Christel House Academy highschool, Indiana*39.7278877*-86.14827269999999
Eminence highschool, Indiana*38.37277650000001*-85.1826652
Franklin Community highschool, Indiana*39.5117904*-86.0867306
Greenwood Community highschool, Indiana*39.6029045*-86.1174631
Greenwood Christian Academy highschool, Indiana*39.584151*-86.122723
Monrovia highschool, Indiana*34.1461408*-118.0169951
Mooresville highschool, Indiana*35.5779203*-80.8019157
Perry Meridian highschool, Indiana*39.6483986*-86.1665921
Shelbyville highschool, Indiana*39.5062308*-85.789248
Southport highschool, Indiana*39.671079*-86.1414684
Waldron highschool, Indiana*39.453185*-85.661158
Whiteland Community highschool, Indiana*39.5513204*-86.0841139
Brown County High School, Indiana*39.2046253*-86.2439528
Brownstown Central High School, Indiana*38.8859036*-86.0457121
Columbus East High School, Indiana*39.1950999*-85.8861404
Columbus North High School, Indiana*39.2245573*-85.9112191
Crothersville High School, Indiana*38.797841*-85.8365242
Edinburgh Community High School, Indiana*39.3516005*-85.9705208
Hauser High School, Indiana*39.2926055*-85.7700062
Indian Creek High School, Indiana*39.40738020000001*-86.1607531
Martinsville High School, Indiana*39.419674*-86.411796
Seymour High School, Indiana*38.9562509*-85.9062532
Southwestern (Shelbyville) High School, Indiana*39.43826139999999*-85.84503959999999
Trinity Lutheran High School, Indiana*38.985783*-85.877177
White River Valley High School, Indiana*38.985783*-85.877177
Clay City High School, Indiana*39.2795639*-87.1100096
Linton-Stockton High School, Indiana*39.0415839*-87.1665422
North Central (Farmerburg) High School, Indiana*39.2249612*-87.3904635
Northview High School, Indiana*34.03905510000001*-84.1773072
Owen Valley High School, Indiana*39.288654*-86.78154699999999
Riverton Parke High School, Indiana*39.697741*-87.3220879
Rockville High School, Indiana*39.086744*-77.118451
Shakamak High School, Indiana*39.1595628*-87.2123124
South Vermillion High School, Indiana*39.6886356*-87.41390249999999
Sullivan High School, Indiana*42.0028084*-87.6689166
Terre Haute North High School, Indiana*39.4928774*-87.3634658
Terre Haute South High School, Indiana*39.4254888*-87.4082875
West Vigo High School, Indiana*39.4606165*-87.4896802
Bedford-North Lawrence High School, Indiana*38.881746*-86.442403
Bloomfield High School, Indiana*40.799607*-74.1975326
Bloomington North High School, Indiana*39.1991004*-86.5490246
Bloomington South High School, Indiana*39.143062*-86.529005
Eastern Greene High School, Indiana*39.0308869*-86.73748549999999
Eastern (Pekin) High School, Indiana*38.5146014*-86.0014731
Edgewood High School, Indiana*39.23586*-86.634036
Medora High School, Indiana*38.8246124*-86.17227179999999
Mitchell High School, Indiana*28.1928971*-82.6682891
Orleans High School, Indiana*38.66788020000001*-86.4544227
Paoli High School, Indiana*38.5503789*-86.47735259999999
Salem High School, Indiana*37.292884*-80.078294
West Washington High School, Indiana*38.583932*-86.23446600000001
Austin High School, Indiana*30.2738179*-97.7672984
Charlestown High School, Indiana*42.3800262*-71.0610777
Henryville High School, Indiana*38.543589*-85.77059340000001
Jennings County High School, Indiana*38.998923*-85.6414446
Madison Consolidated High School, Indiana*38.7733285*-85.4025678
New Washington High School, Indiana*38.5656272*-85.54140699999999
Rock Creek Academy High School, Indiana*38.9457313*-77.0639822
Scottsburg High School, Indiana*38.6806275*-85.7812543
Shawe Memorial High School, Indiana*38.7581139*-85.3889876
Silver Creek High School, Indiana*37.3040023*-121.8052924
Southwestern (Hanover), Indiana*38.710169*-85.4728999
Switzerland County High School, Indiana*38.7413049*-85.07983139999999
Borden High School, Indiana*38.4694128*-85.9477132
Christian Academy of Indiana High School, Indiana*38.3257356*-85.8289458
Clarksville High School, Indiana*36.5156542*-87.27737599999999
Corydon Central High School, Indiana*38.2009798*-86.1193947
Crawford County High School, Indiana*38.319303*-86.35296799999999
Floyd Central High School, Indiana*38.3327561*-85.930774
Jeffersonville High School, Indiana*38.3166996*-85.7101307
Lanesville High School, Indiana*38.2394083*-85.9888677
New Albany High School, Indiana*38.2987932*-85.8110215
